Date,Gold_IRR,USD_IRR,Ounce_USD,Oil_USD,SMA_7,SMA_30,MACD,MACD_Signal,RSI_14,Bollinger_Upper,Bollinger_Lower,Gold_LogRet,USD_LogRet,Ounce_LogRet,Oil_LogRet,Gold_LogRet_Lag_1,USD_LogRet_Lag_1,Ounce_LogRet_Lag_1,Gold_LogRet_Lag_2,USD_LogRet_Lag_2,Ounce_LogRet_Lag_2,Gold_LogRet_Lag_3,USD_LogRet_Lag_3,Ounce_LogRet_Lag_3,Gold_LogRet_Lag_7,USD_LogRet_Lag_7,Ounce_LogRet_Lag_7,Target_Next_LogRet,Target_Next_Price
2021-07-19,10560000.0,245300.0,1808.699951171875,68.62000274658203,10536285.714285715,10567690.0,-22429.515792533755,-16376.772465673655,42.27748691099477,10735654.345411247,10470715.654588753,0.00789089990728751,0.0025715874326417087,-0.0108329526430665,-0.0682930987909009,-0.0028593233358103444,-0.003142154347089357,0.0,-0.00786845790667687,-0.006295331799552931,0.0,0.0,0.0,0.0022449022507048935,-0.003292416313125072,-0.0007603193707478327,0.0,0.0,10560000.0
2021-07-20,10560000.0,245190.0,1810.9000244140625,69.3499984741211,10539285.714285715,10562456.666666666,-20801.07623741962,-17261.63322002285,47.2913616398243,10735593.32756067,10468276.67243933,0.0,-0.0004485310682956321,0.0012156445618103438,0.010582047301988126,0.00789089990728751,0.0025715874326417087,-0.0108329526430665,-0.0028593233358103444,-0.003142154347089357,0.0,-0.00786845790667687,-0.006295331799552931,0.0,-0.006997002827885763,-0.00929042053940153,0.0022179105293645,-0.0021804056607248818,10537000.0
2021-07-22,10537000.0,246280.0,1805.0,73.79000091552734,10545857.142857144,10553390.0,-21122.941814038903,-18033.89493882606,47.153284671532845,10729958.568626449,10461911.431373551,-0.0021804056607248818,0.004435679846861273,-0.0032633809620440605,0.06205710871921527,0.0,-0.0004485310682956321,0.0012156445618103438,0.00789089990728751,0.0025715874326417087,-0.0108329526430665,-0.0028593233358103444,-0.003142154347089357,0.0,-0.004564915202451225,-0.0055915866919364786,0.0021577503670339305,0.00652700609754765,10606000.0
2021-07-24,10606000.0,247790.0,1805.0,73.79000091552734,10548142.857142856,10551790.0,-15630.12490895018,-17553.140932850885,44.90106544901065,10726635.749933304,10461734.250066696,0.00652700609754765,0.0061125132126417635,0.0,0.0,-0.0021804056607248818,0.004435679846861273,-0.0032633809620440605,0.0,-0.0004485310682956321,0.0012156445618103438,0.00789089990728751,0.0025715874326417087,-0.0108329526430665,0.00939241286396658,0.0035692595183050486,0.008201066475030334,0.0133928482759883,10749000.0
2021-07-25,10749000.0,250560.0,1805.0,73.79000091552734,10570857.142857144,10554956.666666666,258.89260824397206,-13990.734224631915,59.91792065663475,10733401.209058976,10457468.790941024,0.0133928482759883,0.011116799546787163,0.0,0.0,0.00652700609754765,0.0061125132126417635,0.0,-0.0021804056607248818,0.004435679846861273,-0.0032633809620440605,0.0,-0.0004485310682956321,0.0012156445618103438,0.0,0.0,0.0022449022507048935,0.0024159089988851283,10775000.0
2021-07-26,10775000.0,251720.0,1798.699951171875,74.5,10609142.857142856,10571356.666666666,14778.676787149161,-8236.8520222757,59.602922928443405,10756133.013343634,10444436.986656366,0.0024159089988851283,0.004618945856294458,-0.003496437179398408,0.009575891908037879,0.0133928482759883,0.011116799546787163,0.0,0.00652700609754765,0.0061125132126417635,0.0,-0.0021804056607248818,0.004435679846861273,-0.0032633809620440605,-0.00786845790667687,-0.006295331799552931,0.0,0.016749885433444845,10957000.0
2021-07-27,10957000.0,256140.0,1799.5,74.4800033569336,10677714.285714285,10591523.333333334,40504.67662204988,1511.4537065894165,67.26256983240224,10835563.42255702,10392906.57744298,0.016749885433444845,0.0174068113391928,0.0004446939315025321,-0.0002684473450921285,0.0024159089988851283,0.004618945856294458,-0.003496437179398408,0.0133928482759883,0.011116799546787163,0.0,0.00652700609754765,0.0061125132126417635,0.0,-0.0028593233358103444,-0.003142154347089357,0.0,0.0,10957000.0
2021-07-28,10957000.0,255990.0,1799.5,74.73999786376953,10734428.57142857,10608756.666666666,60198.78274201974,13248.919513675482,70.0,10901110.07782181,10363359.92217819,0.0,-0.0005857887813225784,0.0,0.0034847174347579775,0.016749885433444845,0.0174068113391928,0.0004446939315025321,0.0024159089988851283,0.004618945856294458,-0.003496437179398408,0.0133928482759883,0.011116799546787163,0.0,0.00789089990728751,0.0025715874326417087,-0.0108329526430665,0.0016414375379787739,10975000.0
2021-07-31,10975000.0,254890.0,1799.5,74.73999786376953,10793714.285714285,10628523.333333334,76378.50938596018,25874.83748813242,77.11442786069652,10959896.760375978,10344473.239624022,0.0016414375379787739,-0.004306301675100171,0.0,0.0,0.0,-0.0005857887813225784,0.0,0.016749885433444845,0.0174068113391928,0.0004446939315025321,0.0024159089988851283,0.004618945856294458,-0.003496437179398408,0.0,-0.0004485310682956321,0.0012156445618103438,-0.0033769940366541063,10938000.0
2021-08-01,10938000.0,255190.0,1799.5,74.73999786376953,10851000.0,10648523.333333334,85232.95607980713,37746.461206467364,78.18411097099622,10998682.720567085,10332187.279432915,-0.0033769940366541063,0.0011762862084036107,0.0,0.0,0.0016414375379787739,-0.004306301675100171,0.0,0.0,-0.0005857887813225784,0.0,0.016749885433444845,0.0174068113391928,0.0004446939315025321,-0.0021804056607248818,0.004435679846861273,-0.0032633809620440605,0.0052886053784183635,10996000.0
