Gold_IRR,Date,USD_IRR,Ounce_USD,Oil_USD
101595000.0,2025-09-28,1105200.0,3736.89990234375,69.41999816894531
103571000.0,2025-09-27,1101200.0,3736.89990234375,69.41999816894531
99757000.0,2025-09-25,1082900.0,3736.89990234375,69.41999816894531
99482000.0,2025-09-24,1072050.0,3732.10009765625,69.30999755859375
96511000.0,2025-09-23,1034900.0,3780.60009765625,67.62999725341797
93605000.0,2025-09-22,1040000.0,3740.699951171875,66.56999969482422
96742000.0,2025-09-21,1058600.0,3643.699951171875,67.44000244140625
92356000.0,2025-09-20,1026100.0,3643.699951171875,67.44000244140625
87410000.0,2025-09-18,988450.0,3643.699951171875,67.44000244140625
88399000.0,2025-09-17,992350.0,3681.800048828125,67.94999694824219
88415000.0,2025-09-16,996450.0,3688.89990234375,68.47000122070312
86803000.0,2025-09-15,992550.0,3682.199951171875,67.44000244140625
84254000.0,2025-09-14,979800.0,3636.89990234375,66.37000274658203
84624000.0,2025-09-13,976850.0,3636.89990234375,66.37000274658203
86342000.0,2025-09-11,993000.0,3636.89990234375,66.37000274658203
88502000.0,2025-09-09,1008300.0,3643.300048828125,66.38999938964844
88066000.0,2025-09-08,1011000.0,3638.10009765625,66.0199966430664
88198000.0,2025-09-07,1026800.0,3565.800048828125,66.98999786376953
87646000.0,2025-09-06,1029800.0,3565.800048828125,66.98999786376953
86148000.0,2025-09-04,1014400.0,3565.800048828125,66.98999786376953
87602000.0,2025-09-03,1025700.0,3593.199951171875,67.5999984741211
87692000.0,2025-09-02,1032000.0,3549.39990234375,69.13999938964844
89407000.0,2025-08-31,1048300.0,3431.800048828125,68.62000274658203
86118000.0,2025-08-30,1026200.0,3431.800048828125,68.62000274658203
83435000.0,2025-08-28,989000.0,3431.800048828125,68.62000274658203
82964000.0,2025-08-27,1000000.0,3404.60009765625,68.05000305175781
79674000.0,2025-08-26,966500.0,3388.60009765625,67.22000122070312
78617000.0,2025-08-25,958000.0,3373.800048828125,68.80000305175781
77647000.0,2025-08-23,941000.0,3336.89990234375,67.66999816894531
78453000.0,2025-08-21,950600.0,3336.89990234375,67.66999816894531
77352000.0,2025-08-20,937500.0,3343.39990234375,66.83999633789062
75932000.0,2025-08-19,933450.0,3313.39990234375,65.79000091552734
75869000.0,2025-08-18,938500.0,3331.699951171875,66.5999984741211
75131000.0,2025-08-17,932900.0,3358.699951171875,65.62999725341797
74018000.0,2025-08-16,927600.0,3358.699951171875,65.62999725341797
76237000.0,2025-08-13,936700.0,3358.699951171875,65.62999725341797
74496000.0,2025-08-12,924900.0,3348.89990234375,66.12000274658203
74964000.0,2025-08-11,932750.0,3353.10009765625,66.62999725341797
74923000.0,2025-08-10,920000.0,3380.0,66.88999938964844
74577000.0,2025-08-09,918300.0,3380.0,66.88999938964844
75934000.0,2025-08-06,934500.0,3380.0,66.88999938964844
75927000.0,2025-08-05,929600.0,3381.89990234375,67.63999938964844
76410000.0,2025-08-04,934100.0,3374.39990234375,68.76000213623047
76724000.0,2025-08-03,938000.0,3347.699951171875,69.66999816894531
75248000.0,2025-08-02,924000.0,3347.699951171875,69.66999816894531
73981000.0,2025-08-01,911800.0,3347.699951171875,69.66999816894531
72109000.0,2025-07-30,905600.0,3295.800048828125,73.23999786376953
71485000.0,2025-07-29,896000.0,3323.39990234375,72.51000213623047
71441000.0,2025-07-28,892500.0,3309.10009765625,70.04000091552734
71224000.0,2025-07-27,892050.0,3334.0,68.44000244140625
70255000.0,2025-07-26,880000.0,3334.0,68.44000244140625
70086000.0,2025-07-25,880500.0,3334.0,68.44000244140625
71070000.0,2025-07-23,884400.0,3394.10009765625,68.51000213623047
71344000.0,2025-07-22,879900.0,3439.199951171875,68.58999633789062
71825000.0,2025-07-21,881100.0,3401.89990234375,69.20999908447266
70786000.0,2025-07-20,878950.0,3353.0,69.27999877929688
69451000.0,2025-07-19,867600.0,3353.0,69.27999877929688
69851000.0,2025-07-18,875600.0,3353.0,69.27999877929688
70818000.0,2025-07-16,887400.0,3352.5,68.5199966430664
71275000.0,2025-07-15,888400.0,3329.800048828125,68.70999908447266
71261000.0,2025-07-14,894200.0,3351.5,69.20999908447266
71557000.0,2025-07-12,889000.0,3356.0,70.36000061035156
69664000.0,2025-07-11,870900.0,3356.0,70.36000061035156
70553000.0,2025-07-09,882850.0,3311.60009765625,70.19000244140625
70331000.0,2025-07-08,878300.0,3307.0,70.1500015258789
69324000.0,2025-07-07,870400.0,3332.199951171875,69.58000183105469
71388000.0,2025-07-06,883700.0,3348.0,69.11000061035156
74371000.0,2025-07-02,916000.0,3348.0,69.11000061035156
74997000.0,2025-07-01,913900.0,3336.699951171875,67.11000061035156
74073000.0,2025-06-30,917200.0,3294.39990234375,67.61000061035156
73563000.0,2025-06-29,906950.0,3273.699951171875,67.7699966430664
70675000.0,2025-06-28,881200.0,3273.699951171875,67.7699966430664
67441000.0,2025-06-27,845700.0,3273.699951171875,67.7699966430664
67189000.0,2025-06-25,836800.0,3327.10009765625,67.68000030517578
67741000.0,2025-06-24,828700.0,3317.39990234375,67.13999938964844
67741000.0,2025-06-11,835350.0,3321.300048828125,69.7699966430664
65887000.0,2025-06-10,827400.0,3320.89990234375,66.87000274658203
64610000.0,2025-06-09,819100.0,3332.10009765625,67.04000091552734
65513000.0,2025-06-08,824950.0,3322.699951171875,66.47000122070312
65003000.0,2025-06-07,822850.0,3322.699951171875,66.47000122070312
64278000.0,2025-06-06,820700.0,3322.699951171875,66.47000122070312
66173000.0,2025-06-02,823850.0,3370.60009765625,64.62999725341797
66053000.0,2025-06-01,823650.0,3288.89990234375,63.900001525878906
64160000.0,2025-05-31,822500.0,3288.89990234375,63.900001525878906
64423000.0,2025-05-30,827400.0,3288.89990234375,63.900001525878906
64400000.0,2025-05-28,822700.0,3293.60009765625,64.9000015258789
64423000.0,2025-05-27,826850.0,3299.10009765625,64.08999633789062
64603000.0,2025-05-26,828300.0,3363.60009765625,64.77999877929688
64813000.0,2025-05-25,822500.0,3363.60009765625,64.77999877929688
65363000.0,2025-05-24,823500.0,3363.60009765625,64.77999877929688
65688000.0,2025-05-23,829150.0,3363.60009765625,64.77999877929688
65317000.0,2025-05-21,827100.0,3309.300048828125,64.91000366210938
64818000.0,2025-05-20,831900.0,3280.300048828125,65.37999725341797
65926000.0,2025-05-19,840650.0,3228.89990234375,65.54000091552734
62567000.0,2025-05-18,818550.0,3182.0,65.41000366210938
62207000.0,2025-05-17,818000.0,3182.0,65.41000366210938
