iter	RMSE
0	0.0600214758
1	0.05999954337
2	0.0599907272
3	0.0599748486
4	0.05996017033
5	0.0599423565
6	0.05992220786
7	0.05991178962
8	0.05990009853
9	0.05987584138
10	0.05986064242
11	0.05984965676
12	0.05984127445
13	0.05983040265
14	0.05981063176
15	0.05979003049
16	0.05977807051
17	0.05976431263
18	0.05975587985
19	0.05973946901
20	0.05972750868
21	0.0597124201
22	0.05970142473
23	0.0596923549
24	0.05968576201
25	0.05966901087
26	0.05964926804
27	0.0596367158
28	0.05962557101
29	0.05961228361
30	0.05960725329
31	0.05959366812
32	0.05958507427
33	0.05957064142
34	0.05955689655
35	0.05954862061
36	0.05953998516
37	0.05952461573
38	0.05951032807
39	0.05949208544
40	0.0594859384
41	0.05947059863
42	0.05945780123
43	0.05943925877
44	0.05942553523
45	0.05941058213
46	0.05939539255
47	0.05938610896
48	0.05936856428
49	0.05935314188
50	0.05933946405
51	0.05932778505
52	0.05931543272
53	0.05930284158
54	0.059298504
55	0.05928929495
56	0.05926574141
57	0.05925211684
58	0.0592440578
59	0.05923438387
60	0.05921453813
61	0.05920253135
62	0.05918696496
63	0.05916722849
64	0.05915836642
65	0.05914879078
66	0.05913459096
67	0.05912062261
68	0.0591106493
69	0.05909708567
70	0.05908252401
71	0.05905767493
